0_0: transcript:chrIII_pilon.g6684
0_1: Transcript:VC2010_MAPPED_cTel54X.1.1
0_2: transcript:chrIII_pilon.g6685
0_3: Transcript:VC2010_MAPPED_cTel54X.2.1
0_4: Transcript:VC2010_MAPPED_H10E21.2.1
0_5: transcript:chrIII_pilon.g6686
0_6: Transcript:VC2010_MAPPED_H10E21.3a.1
0_7: Transcript:VC2010_MAPPED_H10E21.3b.1
0_8: transcript:chrIII_pilon.g6687
0_9: Transcript:VC2010_MAPPED_H10E21.1b.1
0_10: transcript:chrIII_pilon.g6688
0_11: Transcript:VC2010_MAPPED_H10E21.1a.1
0_12: Transcript:VC2010_MAPPED_H10E21.4.1
0_13: transcript:chrIII_pilon.g6689
0_14: Transcript:VC2010_MAPPED_H10E21.5.1
0_15: transcript:chrIII_pilon.g6690
0_16: Transcript:VC2010_MAPPED_W05G11.4.1
0_17: transcript:chrIII_pilon.g6691
0_18: Transcript:VC2010_MAPPED_W05G11.3.1
0_19: transcript:chrIII_pilon.g6692
0_20: transcript:chrIII_pilon.g6693
0_21: transcript:chrIII_pilon.g6694.2
0_22: transcript:chrIII_pilon.g6694.1
0_23: transcript:chrIII_pilon.g6695
0_24: Transcript:VC2010_MAPPED_W05G11.5.1
0_25: transcript:chrIII_pilon.g6696
0_26: Transcript:VC2010_MAPPED_W05G11.6.1
0_27: transcript:chrIII_pilon.g6697
0_28: Transcript:VC2010_MAPPED_F54C4.2.1
0_29: transcript:chrIII_pilon.g6698
0_30: transcript:chrIII_pilon.g6699.2
0_31: Transcript:VC2010_MAPPED_F54C4.3.1
0_32: transcript:chrIII_pilon.g6699.1
0_33: Transcript:VC2010_MAPPED_F54C4.4.1
0_34: transcript:chrIII_pilon.g6700
0_35: Transcript:VC2010_MAPPED_F54C4.1.1
0_36: transcript:chrIII_pilon.g6701
0_37: Transcript:VC2010_MAPPED_C29F9.7.1
0_38: transcript:chrIII_pilon.g6702
0_39: transcript:chrIII_pilon.g6703
0_40: Transcript:VC2010_MAPPED_C29F9.8.1
0_41: transcript:chrIII_pilon.g6704
0_42: Transcript:VC2010_MAPPED_C29F9.6.1
0_43: transcript:chrIII_pilon.g6705
0_44: Transcript:VC2010_MAPPED_C29F9.5.1
0_45: transcript:chrIII_pilon.g6706
0_46: transcript:chrIII_pilon.g6707.4
0_47: transcript:chrIII_pilon.g6707.5
0_48: Transcript:VC2010_MAPPED_C29F9.4.1
0_49: transcript:chrIII_pilon.g6707.3
0_50: Transcript:VC2010_MAPPED_C29F9.12.1
0_51: transcript:chrIII_pilon.g6707.2
0_52: transcript:chrIII_pilon.g6707.1
0_53: Transcript:VC2010_MAPPED_C29F9.3b.1
0_54: transcript:chrIII_pilon.g6708.2
0_55: Transcript:VC2010_MAPPED_C29F9.3a.1
0_56: Transcript:VC2010_MAPPED_C29F9.3c.1
0_57: transcript:chrIII_pilon.g6708.1
0_58: Transcript:VC2010_MAPPED_C29F9.13.1
0_59: transcript:chrIII_pilon.g6709
0_60: Transcript:VC2010_MAPPED_C29F9.2.1
0_61: transcript:chrIII_pilon.g6710
0_62: Transcript:VC2010_MAPPED_C29F9.1.1
0_63: transcript:chrIII_pilon.g6711
0_64: Transcript:VC2010_MAPPED_T17A3.2.1
0_65: transcript:chrIII_pilon.g6712
0_66: Transcript:VC2010_MAPPED_T17A3.3.1
0_67: transcript:chrIII_pilon.g6713
0_68: Transcript:VC2010_MAPPED_T17A3.4.1
0_69: transcript:chrIII_pilon.g6714
0_70: Transcript:VC2010_MAPPED_T17A3.6.1
0_71: transcript:chrIII_pilon.g6715
0_72: Transcript:VC2010_MAPPED_T17A3.12.1
0_73: Transcript:VC2010_MAPPED_T17A3.7.1
0_74: transcript:chrIII_pilon.g6716.1
0_75: transcript:chrIII_pilon.g6716.2
0_76: Transcript:VC2010_MAPPED_T17A3.13.1
0_77: Transcript:VC2010_MAPPED_T17A3.10.1
0_78: transcript:chrIII_pilon.g6717
0_79: Transcript:VC2010_MAPPED_T17A3.1.1
0_80: transcript:chrIII_pilon.g6718.1
0_81: transcript:chrIII_pilon.g6718.2
0_82: transcript:chrIII_pilon.g6719
