0_0: transcript:QX1410.16786.1
0_1: transcript:QX1410.16787.1
0_2: transcript:QX1410.16788.1
0_3: transcript:QX1410.16789.1
0_4: transcript:QX1410.16790.1
0_5: transcript:QX1410.16791.1
0_6: transcript:QX1410.16792.1
0_7: transcript:QX1410.16793.1
0_8: transcript:QX1410.16794.1
0_9: transcript:QX1410.16795.1
0_10: transcript:QX1410.16796.1
0_11: transcript:QX1410.16797.1
0_12: transcript:QX1410.16798.1
0_13: transcript:QX1410.16799.1
0_14: transcript:QX1410.16800.1
0_15: transcript:QX1410.16801.1
0_16: transcript:QX1410.16802.1
0_17: transcript:QX1410.16803.1
0_18: transcript:QX1410.16804.1
0_19: transcript:QX1410.16805.1
0_20: transcript:QX1410.16806.1
0_21: transcript:QX1410.16807.1
0_22: transcript:QX1410.16808.1
0_23: transcript:QX1410.16809.1
0_24: transcript:QX1410.16810.1
0_25: transcript:QX1410.16811.1
0_26: transcript:QX1410.16811.2
0_27: transcript:QX1410.16812.1
0_28: transcript:QX1410.16813.2
0_29: transcript:QX1410.16813.1
0_30: transcript:QX1410.16814.1
0_31: transcript:QX1410.16814.2
0_32: transcript:QX1410.16815.1
0_33: transcript:QX1410.16815.2
0_34: transcript:QX1410.16816.1
0_35: transcript:QX1410.16817.1
0_36: transcript:QX1410.16818.1
0_37: transcript:QX1410.16818.2
0_38: transcript:QX1410.16819.1
0_39: transcript:QX1410.16819.2
0_40: transcript:QX1410.16820.1
0_41: transcript:QX1410.16820.2
0_42: transcript:QX1410.16820.3
0_43: transcript:QX1410.16821.1
0_44: transcript:QX1410.16821.2
0_45: transcript:QX1410.16822.1
0_46: transcript:QX1410.16822.2
0_47: transcript:QX1410.16822.3
0_48: transcript:QX1410.16823.1
0_49: transcript:QX1410.16824.1
0_50: transcript:QX1410.16824.2
0_51: transcript:QX1410.16825.1
0_52: transcript:QX1410.16826.1
0_53: transcript:QX1410.16827.1
0_54: transcript:QX1410.16827.2
0_55: transcript:QX1410.16828.1
0_56: transcript:QX1410.16828.2
0_57: transcript:QX1410.16829.1
0_58: transcript:QX1410.16829.2
0_59: transcript:QX1410.16829.3
0_60: transcript:QX1410.16829.4
0_61: transcript:QX1410.16829.5
0_62: transcript:QX1410.16830.1
0_63: transcript:QX1410.16831.1
0_64: transcript:QX1410.16831.2
0_65: transcript:QX1410.16831.3
0_66: transcript:QX1410.16832.1
0_67: transcript:QX1410.16833.1
0_68: transcript:QX1410.16833.2
0_69: transcript:QX1410.16833.3
0_70: transcript:QX1410.16833.4
0_71: transcript:QX1410.16834.1
0_72: transcript:QX1410.16835.1
0_73: transcript:QX1410.16835.2
0_74: transcript:QX1410.16836.1
0_75: transcript:QX1410.16837.1
0_76: transcript:QX1410.16838.1
0_77: transcript:QX1410.16838.2
0_78: transcript:QX1410.16839.1
0_79: transcript:QX1410.16839.2
0_80: transcript:QX1410.16840.1
0_81: transcript:QX1410.16841.1
0_82: transcript:QX1410.16842.1
0_83: transcript:QX1410.16843.1
0_84: transcript:QX1410.16844.1
0_85: transcript:QX1410.16844.2
0_86: transcript:QX1410.16845.1
0_87: transcript:QX1410.16845.2
0_88: transcript:QX1410.16845.3
0_89: transcript:QX1410.16846.1
0_90: transcript:QX1410.16846.2
0_91: transcript:QX1410.16846.3
0_92: transcript:QX1410.16847.1
0_93: transcript:QX1410.16848.1
0_94: transcript:QX1410.16848.2
0_95: transcript:QX1410.16849.1
0_96: transcript:QX1410.16849.2
0_97: transcript:QX1410.16850.1
0_98: transcript:QX1410.16851.1
0_99: transcript:QX1410.16852.1
0_100: transcript:QX1410.16853.1
0_101: transcript:QX1410.16853.2
0_102: transcript:QX1410.16854.1
0_103: transcript:QX1410.16854.2
0_104: transcript:QX1410.16854.3
0_105: transcript:QX1410.16855.1
0_106: transcript:QX1410.16855.2
0_107: transcript:QX1410.16856.1
0_108: transcript:QX1410.16856.2
0_109: transcript:QX1410.16856.3
